-12,16,-57,23,0,0,0,0,-33,-26,-6,60,0,0,0,0
-34,-3,20,-23,0,0,0,0,12,45,33,127,0,0,0,0
23,-93,40,67,0,0,0,0,2,1,89,7,0,0,0,0
-17,-85,108,-22,0,0,0,0,-35,0,-38,-11,0,0,0,0
-23,59,-105,120,0,0,0,0,-63,-57,-27,23,0,0,0,0
-18,-38,-16,-45,0,0,0,0,104,-46,83,107,0,0,0,0
13,-95,-76,103,0,0,0,0,-29,14,120,7,0,0,0,0
53,-79,109,47,0,0,0,0,-51,-29,18,0,0,0,0,0
-24,62,7,-21

-12,16,-57,23,0,0,0,0,-33,-26,-6,60,0,0,0,0
-34,-3,20,-23,0,0,0,0,12,45,33,127,0,0,0,0
23,-93,40,67,0,0,0,0,2,1,89,7,0,0,0,0
-17,-85,108,-22,0,0,0,0,-35,0,-38,-11,0,0,0,0
-23,59,-105,120,0,0,0,0,-63,-57,-27,23,0,0,0,0
-18,-38,-16,-45,0,0,0,0,104,-46,83,107,0,0,0,0
13,-95,-76,103,0,0,0,0,-29,14,120,7,0,0,0,0
53,-79,109,47,0,0,0,0,-51,-29,18,0,0,0,0,0
7,53,23,34
